Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Founded Date,Closed Date,Last Funding Date,Number of Funding Rounds,Last Funding Amount,Last Funding Type,Last Equity Funding Amount,Total Equity Funding Amount,Total Funding Amount
Ercado,https://www.crunchbase.com/organization/ercado,,"Mountain View, California, United States","Ercado makes healthy living simple, meaningful and personalized with help of robo advisor and real coaches.",,5/1/17,,5/1/17,1,"$100,000 ",Seed,"$100,000 ","$100,000 ","$100,000 "
DreamCSX,https://www.crunchbase.com/organization/dreamcsx,,"Louisville, Tennessee, United States","Artificial Intelligence, Contact Center, and Data Analytics","54,327",4/26/17,,7/10/17,1,"$150,000 ",Seed,"$150,000 ","$150,000 ","$150,000 "
Granite Media,https://www.crunchbase.com/organization/granitemedia,,"San Francisco, California, United States",Building a brighter future for professional media.,"20,714",4/17/17,,5/26/17,1,"$2,000,000 ",Seed,"$2,000,000 ","$2,000,000 ","$2,000,000 "
Project Cohort,https://www.crunchbase.com/organization/project-cohort,,"San Francisco, California, United States",Project Cohort,"13,884",4/1/17,,4/1/17,1,"$1,800,000 ",Seed,"$1,800,000 ","$1,800,000 ","$1,800,000 "
Original Tech,https://www.crunchbase.com/organization/original-tech,"Financial Services, Lending and Investments","San Francisco, California, United States",Original Tech is a mobile-first platform that powers in-person and online product originations for financial institutions.,"17,649",4/1/17,,7/1/17,1,"$120,000 ",Seed,"$120,000 ","$120,000 ","$120,000 "
Candor Insurance,https://www.crunchbase.com/organization/candor-insurance,,"Rome, Georgia, United States",Candor Insurance,"18,192",4/1/17,,6/5/17,2,"$3,000,000 ",Seed,"$3,000,000 ","$3,610,000 ","$3,610,000 "
Estarz,https://www.crunchbase.com/organization/estarz,"Gaming, Commerce and Shopping, Information Technology, Software, Sports, Education","Boston, Massachusetts, United States",Estarz is a coaching marketplace offering online courses and training from the worldâ€™s best Esports pros.,"57,302",4/1/17,,6/13/17,1,"$100,000 ",Seed,"$100,000 ","$100,000 ","$100,000 "
"in a Jiffy, Inc",https://www.crunchbase.com/organization/in-a-jiffy-inc,,"Edison, New Jersey, United States",On demand dervices,"35,680",3/29/17,,10/21/16,1,"$200,000 ",Seed,"$200,000 ","$200,000 ","$200,000 "
Apostle Inc,https://www.crunchbase.com/organization/apostle-inc,,"Sunnyvale, California, United States","At Apostle, we aim to develop anÂ AI-enabled nanoDiagnostics (AID) technology to improve the accuracy of cancer diagnosis at early stage.","41,118",3/28/17,,3/1/17,1,"$2,350,000 ",Seed,"$2,350,000 ","$2,350,000 ","$2,350,000 "
CarSnatch,https://www.crunchbase.com/organization/carsnatch,"Information Technology, Data and Analytics, Software, Sales and Marketing, Transportation, Internet Services, Artificial Intelligence, Advertising","San Francisco, California, United States","Digital marketing and technology startup in the automotive space that dominates Primary Market Areas, Conquest and CRM databases.","53,184",3/21/17,,3/21/17,1,"$300,000 ",Seed,"$300,000 ","$300,000 ","$300,000 "
Guilded,https://www.crunchbase.com/organization/guilded,"Gaming, Media and Entertainment","San Francisco, California, United States","Guilded helps gaming teams recruit, improve, and compete.","74,026",3/17/17,,7/11/17,1,"$120,000 ",Seed,"$120,000 ","$120,000 ","$120,000 "
FlirtAR,https://www.crunchbase.com/organization/flirtar,,"Los Angeles, California, United States",The Future of Dating Begins with FlirtAR | Flirting in Augmented Reality | Meet People in the Real World,"17,535",3/10/17,,8/15/17,1,"$1,500,000 ",Seed,"$1,500,000 ","$1,500,000 ","$1,500,000 "
Jifflin & Company,https://www.crunchbase.com/organization/jifflin-company,Professional Services,"Bethesda, Maryland, United States",Jifflin & Company is a provider of business consulting services.,"33,167",3/4/17,,5/5/17,2,"$250,000 ",Seed,"$250,000 ","$350,000 ","$350,000 "
Attitude.ai,https://www.crunchbase.com/organization/attitude-ai,"Commerce and Shopping, Data and Analytics, Software","San Francisco, California, United States",Attitude.ai builds conversational interfaces for marketing automation.,"20,101",3/1/17,,8/2/16,1,"$200,000 ",Seed,"$200,000 ","$200,000 ","$200,000 "
The Perspective,https://www.crunchbase.com/organization/the-perspective,"Media and Entertainment, Content and Publishing","New York, New York, United States",The Perspective is a website that curates the best perspectives on the day's top stories for people to read and explore.,"21,590",3/1/17,,3/31/17,1,"$500,000 ",Seed,"$500,000 ","$500,000 ","$500,000 "
SafeSkies Systems Inc,https://www.crunchbase.com/organization/safeskies-systems-inc,"Hardware, Consumer Electronics, Software, Government and Military, Consumer Goods","San Francisco, California, United States",Automated safety systems for commercial drones,"40,791",3/1/17,,3/1/17,1,"$50,000 ",Seed,"$50,000 ","$50,000 ","$50,000 "
Crrrunchtime Pty Ltd,https://www.crunchbase.com/organization/crrrunchtime-pty-ltd,,"Boston, Massachusetts, United States","Crrrunctime: Alerts you to extraordinary, must see drama moments before it unfolds. Tunes you instantly into the action, live, on mobile.","44,310",3/1/17,,3/1/17,1,"$250,000 ",Seed,"$250,000 ","$250,000 ","$250,000 "
Strayos,https://www.crunchbase.com/organization/strayos,"Hardware, Consumer Electronics, Data and Analytics, Software, Consumer Goods, Artificial Intelligence","Saint Louis, Missouri, United States",3D Aerial intelligence platform for Mining and Surveying industry,"51,773",3/1/17,,2/15/17,1,"$350,000 ",Seed,"$350,000 ","$350,000 ","$350,000 "
"BookingKoala, LLC",https://www.crunchbase.com/organization/bookingkoala-llc,,"Chicago, Illinois, United States",Shopify for the Service Industry,"53,601",3/1/17,,3/1/17,1,"$40,000 ",Seed,"$40,000 ","$40,000 ","$40,000 "
FetchMi,https://www.crunchbase.com/organization/fetchmi,Internet Services,"Atlanta, Georgia, United States",FetchMi helps users find and compare businesses that serve the Atlanta area,"62,894",3/1/17,,5/15/17,1,"$50,000 ",Seed,"$50,000 ","$50,000 ","$50,000 "
Filegear,https://www.crunchbase.com/organization/filegear,"Apps, Information Technology, Software, Mobile","San Francisco, California, United States",Filegear provides all the cool features of cloud storage privately from your home at a fraction of the cost with Filegear apps and device,"12,969",2/15/17,,2/9/17,1,"$1,200,000 ",Seed,"$1,200,000 ","$1,200,000 ","$1,200,000 "
MusicMind Inc.,https://www.crunchbase.com/organization/musicmind-company,"Science and Engineering, Hardware, Media and Entertainment, Information Technology, Music and Audio, Data and Analytics, Software, Sales and Marketing, Internet Services, Artificial Intelligence, Design","Los Angeles, California, United States",MusicMind is a social music platform with embedded augmented reality that provides brands and artists with content distribution services.,"27,512",2/15/17,,2/20/17,1,"$40,000 ",Seed,"$40,000 ","$40,000 ","$40,000 "
Booksowl,https://www.crunchbase.com/organization/booksowl,,"Edina, Missouri, United States",Booksowl is an online platform that assists its users in managing their bookkeeping needs.,"55,161",2/9/17,,1/5/17,1,"$15,000 ",Seed,"$15,000 ","$15,000 ","$15,000 "
Omega Grid,https://www.crunchbase.com/organization/omega-grid,"Energy, Software, Payments, Financial Services","Chicago, Illinois, United States",Peer-to-Peer Energy Platform,"40,283",2/2/17,,7/27/17,1,"$100,000 ",Seed,"$100,000 ","$100,000 ","$100,000 "
Manchester Atlantic,https://www.crunchbase.com/organization/manchester-atlantic,"Real Estate, Food and Beverage, Financial Services","New Jersey, United States, North America",Manchester Atlantic (MA) is one of the worldâ€™s leading investment and advisory firms.,"17,597",2/1/17,,2/1/17,1,"$200,000 ",Seed,"$200,000 ","$200,000 ","$200,000 "
