Company,Founded Date,Closed Date,Funding Rounds,Last Funding Date,Last Funding Amount,Total Funding Amount,Status,Funding Type,Money Raised,Announced On Date,UUID,Homepage,Total Visits,Avg Visit Duration,Pages Per Visit,Bounce Rate
The Happy Home Company,2014-01-01,2016-11-01,1,2015-12-22,3500000,3500000,Closed,Seed,3500000,12/22/2015,3a1509075bb8b1fd304aac1b93552230,http://www.thehappyhome.co,<12K,00:00:57,1.29,71.20%
Thryve,2012-01-01,,1,2012-04-01,50000,50000,Closed,Seed,50000,4/1/2012,3a291ce01fa3309b0cb8ef13afc7c55b,http://www.thryveapp.com/,<12K,00:00:23,1.56,43.68%
Tittat,2012-01-01,,1,2013-07-10,220000,220000,Closed,Seed,220000,7/10/2013,13d19d877fd764d5792fa02181d78cef,http://www.titt.at,<12K,N/A,N/A,N/A
Traffic Labs,2012-11-04,2013-07-01,1,2012-10-31,50000,50000,Closed,Seed,50000,10/31/2012,cbc8fa8ef9f579ab285ea05fc0437ca3,http://trafficapp.co,<12K,00:00:04,2.00,N/A
Transpose,2015-02-01,,1,2015-05-11,1500000,1500000,Closed,Seed,1500000,5/11/2015,bc7997de255d1df7b41ffe82368e3e16,https://transpose.com/,<12K,00:01:11,1.79,57.12%
Tylr Mobile,2012-01-01,,3,2013-11-04,1500000,1528000,Closed,Seed,28000,9/1/2012,5f04cc7b2f4f3d1924fdaea4dc938812,http://www.tylrmobile.com,<12K,N/A,N/A,N/A
Uguru.me,2013-09-05,2014-11-05,1,2014-08-01,100000,100000,Closed,Seed,100000,8/1/2014,e5205e01fb9f34b37b9516bf19e60187,http://uguru.me,<12K,N/A,1.00,100.00%
Vicino,2012-03-01,2013-05-01,1,2013-01-01,600000,600000,Closed,Seed,600000,1/1/2013,ff9e974314e3ea5d4fb0d951261188b2,http://vicino.com,<12K,00:00:01,2.00,N/A
VidBid,2012-06-19,2015-01-26,1,2012-08-31,100000,100000,Closed,Seed,100000,8/31/2012,077d60d61885051841629e827c9269b2,http://www.vidbid.com,<12K,N/A,1.00,100.00%
Visidraft,2012-07-09,2015-10-01,1,2015-04-28,250000,250000,Closed,Seed,250000,4/28/2015,f67cad7466c1a1b653a2208755aa0d0b,http://www.visidraft.com,<12K,00:00:01,1.26,73.73%
"Vitrum View, LLC",2014-01-01,2015-02-06,2,2014-10-06,1000000,1100000,Closed,Seed,100000,5/14/2014,0868a4efaad474eb598368b2b675f5c2,http://www.vitrumview.com,<12K,N/A,N/A,N/A
Vouch Financial,2013-01-01,2016-01-01,2,2015-05-14,6000000,8999998,Closed,Seed,2999998,12/31/2014,1c4c17ba8ed2205d10c38c160fb52dc7,http://vouch.com,<12K,00:00:50,1.62,79.26%
WUT,2014-01-01,2016-05-13,1,2014-06-10,1000000,1000000,Closed,Seed,1000000,6/10/2014,dffbcebfeec9069fb27507e2dc098817,http://wutwut.com,<12K,00:00:12,1.21,79.12%
WallCompass,2013-10-11,2015-03-07,1,2014-07-11,20000,20000,Closed,Seed,20000,7/11/2014,043261f698a69af35ac92a44029a32fc,http://www.wallcompass.com,<12K,N/A,N/A,N/A
Washio,2013-01-01,2016-08-30,4,2014-06-09,10500000,16820000,Closed,Seed,1300000,10/9/2013,b5a1053abfaf8da8218088d2f637812a,http://www.getwashio.com,<12K,00:00:17,1.29,71.32%
Watercluster,2015-01-01,,1,2015-06-30,50000,50000,Closed,Seed,50000,6/30/2015,36b1274f4a26ace97e51b6924589ffc4,https://www.watercluster.com/,<12K,N/A,N/A,N/A
Weave,2013-01-01,2016-07-12,1,2014-05-01,630000,630000,Closed,Seed,630000,5/1/2014,bcccd7259682dc22eadf979ce108d353,http://www.getweave.com,58.60K,00:00:12,1.06,31.51%
White Cheetah,2012-12-12,2014-06-12,2,2013-03-11,30000,290000,Closed,Seed,30000,3/11/2013,047d6d206bdd65486b062d6baea4d345,http://crowd911.com,<12K,N/A,N/A,N/A
Win Win Slots,2012-06-06,2014-03-03,1,2013-01-01,500000,500000,Closed,Seed,500000,1/1/2013,0013719b13cb9419c604597100dd642f,http://winwinslots.com,<12K,N/A,N/A,N/A
Wiper,2014-02-13,2016-04-30,2,2016-02-05,2000000,4500000,Closed,Seed,2000000,2/5/2016,7cee583daafe092cce2ec2153e670fb1,http://gowiper.com,<12K,00:00:01,1.34,66.40%
Wire,2013-02-01,2015-01-01,1,2013-11-26,1800000,1800000,Closed,Seed,1800000,11/26/2013,fbb0440eefd6d79c8a08e50f1552bd33,http://wire.im,<12K,N/A,N/A,N/A
Wokrr,2016-01-01,,1,2000-01-01,1111,1111,Closed,Seed,1111,1/1/2000,90b1f841706e6b9ecc1d04adbd9f41a3,https://wokrr.com,,,,
WoofRadar,2013-01-01,,1,2013-09-01,400000,400000,Closed,Seed,400000,9/1/2013,41bc62afd502ce6983d7f38f15140d80,http://woofradar.com,,,,
Worksurfers,2013-01-01,2014-08-01,1,2012-11-22,40000,40000,Closed,Seed,40000,11/22/2012,03d132f12f4302a4021e1fc82666dda5,http://worksurfers.com,<12K,N/A,N/A,N/A
Wovo,2014-04-01,,1,2015-05-05,350000,350000,Closed,Seed,350000,5/5/2015,1e49a65d59615e54a2f699855392cab6,http://www.playwovo.com/,<12K,N/A,N/A,N/A
WrkRiot,2015-11-01,,2,2016-08-01,130000,1130000,Closed,Seed,1000000,11/1/2015,280f66ccb037070adfbae96891950345,http://wrkriot.com,<12K,N/A,1.00,1.00%
Wyldfire,2013-07-05,2016-01-01,3,2014-10-15,20000,450000,Closed,Seed,120000,2/2/2014,95eec8802388176bd713bf4ad6329e96,http://www.wyldfireapp.com,<12K,00:01:49,1.32,78.59%
Xdynia,2012-01-01,,2,2013-03-29,212500,262500,Closed,Seed,50000,2/21/2012,57141a501107da86dc5c26873d751ed1,http://www.xdynia.com,<12K,N/A,N/A,N/A
Yakify,2012-01-01,,1,2012-01-01,100000,100000,Closed,Seed,100000,1/1/2012,1a07a9eab5a1048fb8d0ef4493214ee2,http://www.yakify.com,<12K,N/A,N/A,N/A
Yeloha,2012-01-01,2016-05-01,2,2015-04-08,3500000,4500000,Closed,Series A,3500000,4/8/2015,933698ec051aa634b1691afa6096e1d4,http://www.yeloha.com/,<12K,00:00:16,1.54,60.63%
Yik Yak,2013-10-10,2017-05-01,3,2014-11-24,62000000,73500000,Closed,Seed,1500000,4/22/2014,3ba05ea36404e34757cb8ebba13630ab,http://www.yikyak.com/home,<12K,00:00:46,1.41,75.83%
bulletn.,2013-10-04,2014-01-01,1,2013-12-20,3000,3000,Closed,Seed,3000,12/20/2013,17bcf9564e40b0502bd9e18b7e27b7fa,http://www.bulletn.info,<12K,N/A,N/A,N/A
