Company,Founded Date,Closed Date,Funding Rounds,Last Funding Date,Last Funding Amount,Total Funding Amount,Status,Funding Type,Money Raised,Announced On Date
Acclaimd,2012-02-01,,2,2012-08-07,"$70,000 ","$90,000 ",Operating,Seed,"$20,000 ",2012-06-01
Accompany,2013-01-01,,3,2016-12-05,"$20,000,000 ","$40,600,000 ",Operating,Seed,"$5,600,000 ",2013-07-05
Accompany,2013-01-01,,3,2016-12-05,"$20,000,000 ","$40,600,000 ",Operating,Series A,"$15,000,000 ",2014-11-19
Accompany,2013-01-01,,3,2016-12-05,"$20,000,000 ","$40,600,000 ",Operating,Series B,"$20,000,000 ",2016-12-05
Accomplice,2013-08-27,,1,2015-03-03,"$5,000,000 ","$5,000,000 ",Operating,Series A,"$5,000,000 ",2015-03-03
Accordion Health,2014-05-14,2017-06-01,2,2015-11-01,"$1,000,000 ","$1,150,000 ",Closed,Seed,"$1,000,000 ",2015-11-01
Accordion Health,2014-05-14,2017-06-01,2,2015-11-01,"$1,000,000 ","$1,150,000 ",Closed,Seed,"$150,000 ",2014-07-02
Accredible,2013-01-01,,1,2016-07-01,"$3,500,000 ","$3,500,000 ",Operating,Seed,"$3,500,000 ",2016-07-01
"Accrualify, Inc.",2015-09-01,,1,2017-05-09,"$600,000 ","$600,000 ",Operating,Seed,"$600,000 ",2017-05-09
AccuPS,2014-03-18,,1,2017-02-10,"$100,000 ","$100,000 ",Operating,Seed,"$100,000 ",2017-02-10
Acculitx,2012-01-01,,1,2015-06-30,"$1,000,000 ","$1,000,000 ",Operating,Series A,"$1,000,000 ",2015-06-30
AccuraGen Holdings,2013-01-01,,2,2016-06-01,"$40,000,000 ","$40,000,000 ",Operating,Series B,"$40,000,000 ",2016-06-01
Accuronix Therapeutics,2015-01-01,,1,2016-01-28,"$625,000 ","$625,000 ",Operating,Seed,"$625,000 ",2016-01-28
Ace & Everett,2014-01-01,,1,2016-03-01,"$360,000 ","$360,000 ",Operating,Seed,"$360,000 ",2016-03-01
Aceable,2012-10-01,,3,2016-09-23,"$4,000,000 ","$8,700,000 ",Operating,Seed,"$4,700,000 ",2015-10-01
Aceable,2012-10-01,,3,2016-09-23,"$4,000,000 ","$8,700,000 ",Operating,Series A,"$4,000,000 ",2016-09-23
Acer Therapeutics,2013-01-01,,2,2016-05-06,"$8,149,998 ","$10,249,998 ",Was Acquired,Series B,"$8,149,998 ",2016-05-06
Acera Surgical,2013-01-01,,1,2013-08-08,"$600,000 ","$600,000 ",Operating,Seed,"$600,000 ",2013-08-08
Achieve Lending,2014-01-01,,1,2014-07-31,"$50,000 ","$50,000 ",Operating,Seed,"$50,000 ",2014-07-31
Acompli,2013-06-01,,1,2013-06-04,"$7,300,000 ","$7,300,000 ",Was Acquired,Series A,"$7,300,000 ",2013-06-04
Acopio,2012-01-01,,1,2012-04-01,"$20,000 ","$20,000 ",Operating,Seed,"$20,000 ",2012-04-01
