Company,Founded Date,Closed Date,Funding Rounds,Last Funding Date,Last Funding Amount,Total Funding Amount,Status,Funding Type,Money Raised,Announced On Date,UUID,Homepage,Total Visits,Avg Visit Duration,Pages Per Visit,Bounce Rate
ProtoExchange,10/12/2012,3/30/2015,2,8/6/2013,118000,133000,Closed,Seed,118000,8/6/2013,f7d263cebb7eeb65b14898167eebbd68,http://www.protoexchange.com,<12K,,1,100.00%
Quack,7/14/2014,7/31/2014,1,7/18/2014,20000,20000,Closed,Seed,20000,7/18/2014,e0a5b5217a85a8e8c2ef8318a91f10b6,http://www.quack.com,<12K,,,
Quality Renters,1/1/2015,,1,1/1/2015,20000,20000,Closed,Seed,20000,1/1/2015,404b19460cc7e8bca5611f5c491b16cd,http://www.qualityrenters.com/,<12K,,,
Quantified Vapor,1/1/2014,,2,5/1/2016,50000,70000,Closed,Seed,20000,3/1/2016,8f7d718d69b486b492ee1f0efaf12c93,http://quantifiedvapor.com,<12K,,,
ReTenant,8/1/2012,4/9/2016,2,3/4/2014,400000,440000,Closed,Series A,400000,3/4/2014,07cad2b63924a515f1d18566595aba2f,http://www.retenant.com/,<12K,,,
Relationship Analytics,8/1/2012,8/1/2013,2,5/16/2013,25000,125000,Closed,Seed,25000,5/16/2013,3f5171ce1ccb513cad700dff883c5905,http://www.relationshipmanager.com,<12K,0:00:01,2,
Remember The Member,1/1/2012,7/1/2013,1,7/1/2012,50000,50000,Closed,Seed,50000,7/1/2012,52d032c4525754227348045339bc3420,http://www.rememberthemember.com,<12K,,,
RewardMyWay,12/1/2013,2/1/2016,1,1/1/2014,2000000,2000000,Closed,Series A,2000000,1/1/2014,53215e2f9458a5a03774c4b4d9e49507,http://www.rewardmyway.com,<12K,,1,100.00%
Ripple Commerce,1/1/2012,,1,7/20/2012,650000,650000,Closed,Seed,650000,7/20/2012,964ea8f7621fc10cc80ea474b8a39016,http://ripplecommerce.com,,,,
Rocket Raise,8/1/2013,,1,8/7/2013,15000,15000,Closed,Seed,15000,8/7/2013,3d383ee57bf4e92cc2cbd723460500be,http://rocketraise.com/,<12K,,,
SKULLY,2/27/2013,7/27/2016,4,2/27/2015,11000000,14950000,Closed,Series A,11000000,2/27/2015,cbbb8ba2f5302ba5d12f84cee865ce79,http://www.skully.com/,<12K,0:01:36,1.51,65.77%
STAND Technologies,1/1/2014,6/3/2016,1,6/25/2015,2250000,2250000,Closed,Seed,2250000,6/25/2015,cd6602b497b824ded92a1f32ad8905b3,http://www.stand.tc,<12K,0:00:01,2.27,
Safecare,1/1/2012,,1,4/19/2012,25000,25000,Closed,Seed,25000,4/19/2012,09a82871e23169e5a414c309958bf662,http://safecare.publichealth.gsu.edu/,<12K,0:04:15,3.37,40.62%
